Title,Department,Job_type,Sentiment,Rating,Likes,Dislikes
Senior Consultant,General Insurance Department,Full Time,Positive,4,"Deserved candidates are promoted promptly.
Unbiased in providing opportunities to employees, regardless of their gender or any other thing",With designation no promotions badsalary increment is also required
Senior Software Engineer,Software Development Department,Full Time,Neutral,3,"You got lot of learning platform and monthly learning plan as well.
People will be encourage for cloud certificating.","You will get fully not tech horrible project management.
There is no variable pay.
No, appraisal. 
if you worked hard no one recognise you.
Increment will 3 to 4% max to max."
Senior Consultant,Software Development Department,Full Time,Positive,4,"Based on which Business Unit you are you will get your experience.
Company's policies are good and is followed by most of the top level management people.
Some BUs respect employees personal time and some are not. They may directly tell you to work extra hours and days though it may not be your fault in developing something.
You canSpeak up what are the troubles you are facing anonymously and is heard and actions are taken. That's the best thing....Read More","Some top level management people bring bad name to the company because of their activities which affect badtop level management people too.
Some BUs do micro management and some are asking to work extra hours. My friend's BU asked him to work on Saturday and Sunday which is against company's policy but to he persons who worked like that didn't Speak Up.  Director of the horrible project management knows that too and not supportive to employees' voice.
Some Managers are very badand directly will tell you not to work on weekends.
So it is upto in which BU you are and who is your manager....Read More"
Senior Consultant,Banking Operations Department,Full Time,Negative,1,Some client projects are good as they use the latest tech to work.,"Culture, micro management, unprofessional behavior, lack of sensitivity, pathetic HR and PMO"
Team Lead,IT Infrastructure Services Department,Full Time,Positive,4,"I have worked in IBM (4 years) ,TCS (1 year) , this is my 3rd company (1.3 years completed at the time of review) ,  I would say Capgemini is better than IBM and TCS. Work Life balance is very good in capgemini, additionally growth opportunity is also good here if you are hard a worker. At the end don't forget it also depends on your project and manager.","Medical insurance amount is quite low compare to TCS . Cab pick up and drop is not from home, it's only from near by defined point."
Trade Finance Analyst,Banking Operations Department,Full Time,Positive,5,All good and their learning platforms and skill development with full free hands and core knowledge expert in very process of projects and deliveries.,Hike cycle and performance hikes are bit low and average
Senior Developer,Software Development Department,Full Time,Positive,4,"Flexible timing, good project, learning growth","There is no anniversary culture for new employee, of you join on the month of May, you are going to get the hike after 2 years."
Analyst   (working remotely),Other Department,Full Time,Negative,1,"You can stay here without a project, without any work on bench. Nobody will fire you. 
You can stay here, learn from their courses and prepare for some other exam or other job","I begged them for a horrible project management, but they kept me on bench for a year. I was a fresher, so I was dying for some work
The management is terrible, the manager cut my leaves, saying I had an attitude"
Analyst,IT Consulting Department,Full Time,Positive,4,"The experience might vary based on the project you are tagged to, I'm in Consulting and my team is really supportive, so my overall experience is good no complaints.","No company or job is perfect, the learning opportunity will get stagnated at some point (might not be the case with development horrible project management) especially support horrible project managements, also there is no opportunity to have a transition into different roles, and the compensation and no promotion is average, other than  this cg is a really great place to work."
Senior Consultant C1,Software Development Department,Full Time,Positive,4,"Learning new features from my project
Work life balance is good","There are no long term horrible project management, every 10 months once horrible project management getting changed. Again KT and machine setting is taking time. Internal politics are there, even if you work hard you will get 2nd rating."
Senior Analyst,Business Intelligence & Analytics Department,Full Time,Negative,2,Okay if you are always buttering any nanipulstive,"They play well politics quite firing,micromanagement and giving power to misuse in wrong hand not at all badplace for genuine person"
Cybersecurity Manager,IT Security Department,Full Time,Neutral,3,"Continuous learning
Good client interactions","Salary. It really needs improvement. Pay revision has to happen to meet with current inflation.
Appraisals can be better organised.
Can get out of hybrid and choice given to folks on how they can organise coming to office"
Senior Analyst,IT Network Department,Full Time,Neutral,3,"Work culture is good. Job security is also good. 
All depends upon the management and project needs.","Capgemini has different policies to retain and promote female candidates. Quota for no promotion and appraisals.
Even if you are badwith all respects(Technical, non-technical), female candidate with less potential will be promoted.
Most of the horrible project managements are support based. 
Join only if you are getting development profile."
Problem Manager,Operations Support Department,Full Time,Positive,4,"Here leaders are very supportive, nobody forcing to extend shift hours. I like  Capgemini as organisation very much and for freshers they are providing very good opportunity and training which is helping to grow in career very fast.","They are not giving increament in 1st year of joining, even after you have badreview. Most dislike part about the organisation is, while hiring resources profile shared by company to employee and selected for role is completely diffrent than what role they will be holding in horrible project management and opposite to their skill set most of the timethis is happening and also they are not giving release from horrible project management....Read More"
Associate Consultant,Data Science & Machine Learning Department,Full Time,Positive,4,The job security is extremely high. They do not fire anyone if they are on bench.,"The no promotions and appraisals are quite low . Average appraisal in FY 2022-23, was just 5 percent. That too was given to selective employees."
Engineer,Software Development Department,Full Time,Positive,4,Work-life balance and company's ethics and everyone is nice to you. You can learn with co-employees much. Overall great company culture.,Too much politics you are assigned in any domain regardless of your expertise and then the skill gets degraded and then politics starts of Performance issue.
Senior Software Engineer,Finance Department,Full Time,Neutral,3,There are lot of technologies being used. We can learn anything thing we we want to learn or interested.,"There is no job insecurity. 
Don't give at least minimum hikes. 
Few managers is using their work"
Consultant,IT Security Department,Full Time,Negative,2,good work life balance,bad managements badin this company where there is not any salary and perks no increment no badknowledge of seniors and don't have knowledge how to tackle in any problems.
Associate Consultant SAP Concur,IT Consulting Department,Full Time,Negative,2,good work life balance,"One of the worst leadership I have ever seen .After so many appriciation from client , horrible project management, BU they don't have any no promotion policy..They are hiring people from outside on high package but not giving no promotion to the current eligible employee.Pure lack of improper management there are resource on bench also. Terrible experience 😪"
Software Engineer,Other Department,Full Time,Neutral,3,"For short term maybe, work culture is good but totally depends on your project & supervisor or manager, if you're lucky you might like it else better to look elsewhere...long term no monetary benefits whatsoever","Absolute worse in the monetary department, you will feel bad for earning so low when your peers from other place earn more, this is true even if your super talented"
Network Security Engineer,IT Network Department,Full Time,Negative,2,The compensation was good enough,"The company policy, worst work culture is really bad. The work environment was degrading and they don't take into consideration your own area of interest. Really bad management. They expect employees to adhere to upper management but upper management do not consider any feedbacks or concerns from their employees."
Trainer,Corporate Training Department,Contractual,Neutral,3,I am waiting for my work to be starting again by September as has been said to in July. I loved my job as because training is my passion. I must have done few errors which I am seeking opportunity to correct myself that scope hasn’t arrived so far.,One more scope to showcase my ability.
Solution Architect,Business Intelligence & Analytics Department,Full Time,Neutral,3,great .. Boring culture. No one is willing to grow. All policies on paper only,"Working principles. poor career growth is ZEROOOOO. Every activity has to be billed by the client, then you are a badperformer here. If you need time and resources for a innovation with a vision .. no one will come forward to help. Empathy is a non-existent word here."
Software Engineer,Software Development Department,Full Time,Negative,1,They are not giving project it's said like it's your fault and job security is so bad they are just forcing employees to resign and if employees didn't resign they are giving negative feedback on work experience and salary will not growing if you are fresher please don't join Capgemini they destroy your career,They are not giving horrible project management it's said like it's your fault and job insecurity is so much bad they are just forcing employees to resign and if employees didn't resign they are giving negative feedback on work experience and salary will not growing if you are fresher please don't join Capgemini they destroy your career
Analyst,Banking Operations Department,Full Time,Positive,4,"Teams are very supportive and you get alot for learning experience and self development.
Job security is not the best but better than other MNC.","Not many badhorrible project managements are there.
Mostly support horrible project management and there."
Analyst,Quality Assurance and Testing Department,Full Time,Neutral,3,Job Security is the positive in the company.They will support you as much as they can to get into any projects.,There is no experienced RMG in some Business unit.So 99% of the queries form Resources left unanswered.
Team Lead,Finance Department,Full Time,Negative,1,I Likes Capgemini providing a platform to up skill their employees as knowledge wise for employees career growth. It's very kind oppertunity.,"1) Worst part is no promotion and Monitoring benifits in Few horrible project managements
2) Work environment not badin the sense building maintenance and Interior Tables and chairs and all not bad
3) we can't find tasty food in all cafetarias
4) Transport facility is there but not maintaining properly......... if any issues raise they will not solve for next time issues will be there 
5) Maintenance also not badpeople are ther but not monitore that work .... very lezzy 
6) No leadership meetings no events simply conducting events there is no benifits...Read More"
Software Engineer,Finance Department,Full Time,Negative,1,You get a lot of opportunities for e-learnings and trainings.,"You will not get even the appraisal which you deserve, even the ones on bench gets a grade change and appraisal. But on the same note, if you even work 11 hours a day, there is no guarantee that you will be among the lucky ones."
Manager,Banking Operations Department,Full Time,Negative,2,No politics in work environment.Hierarchy system is very good and reachability also good.orgaisation is flexible.,Clients are not ethical and management level doesn't have badcontrol over client .
Team Manager,Software Development Department,Full Time,Positive,4,"I am working in salesforce and what I see around is most of the project they have on latest tech and there is always scope about discussion how we can make it better instead of only just finish anyhow. Top leadership is also involved in design part(what I feel) for one of the product which I worked and looks good.
Second thing is lot of learning oppertunities there. They have many platform and they track your learning as well and force you to complete your learning courses....Read More","Initially what they offered CTC is everything included like you mediclaim, term insurance, PF each and every thing so make sure you prepare these question before going to HR round and understand your in hand salary. Their salary include 10% variable which I feel is worst part. They have hybrid culture so employees whose home town is somewhere else is not helpful."
Associate Consultant,Recruitment & Talent Acquisition Department,Full Time,Negative,2,"Hybrid work
Good for gaining experience as a fresher","Leads make false promises
Thrives on gossips and vulnerability of a person
Favourites are given chances
Most of the staff has shallow knowledge
No terrible work life balance as in thinks working on weekends Saturday & Sunday is normal
Mostly new joiners are hired on contract role so no job insecurity. One has to be lucky to get converted to full time
Demotivating leadership
Only handful of staffs are reliable and know what are they doing and how to not make others uncomfortable...Read More"
Associate Architect,Software Development Department,Full Time,Positive,5,Capgemini is one of the best companies where we can learn in full potential. Due to its wide spread there are many clients where we can apply our skills.,The no promotional process is very discouraging. New procedures to be implemented to encourage employees with no promotions.
Senior Professional II,IT Network Department,Full Time,Neutral,3,"There is a sense of job security because Capgemini has alot of projects. Plus, there is a flexibility of being able to work from home if needed on a genuine basis.","So, Capgemini bought Altran and I was previously an employee of Aricent that Altran had bought. When compared to Aricent, Capgemini is unfortunately a not-so-badplace to work. Aricent used to give badaverage appraisals to employees alongwith gifts for Diwali, New Year, etc etc. None of that happens in Capgemini."
Senior Analyst,Software Development Department,Full Time,Positive,5,"Great to work with the organisation
And the team project 
Lots have been learnt and I am great ful for the opportunities given.","it is all bad,
There was bad managementto have disliking about."
Senior Oracle Database Administrator Consultant,DBA / Data warehousing Department,Contractual,Neutral,3,Salary will be credited on time,"Work pressure is more.
For contractual employees, there is no any benefits like shift allowance, comp off & so on.
CG will not convert the contractual employees to CG payroll."
Process Associate A3,SCM & Logistics Department,Full Time,Neutral,3,Not much work pressure.,"Worst...The HR team provides misleading information about the salary you will receive at the beginning of employment.  However, you may receive less than promised.  Additionally, you will find that there is a lot of politics within the organization which will ultimately affect your performance."
Associate Consultant,Operations Support Department,Full Time,Positive,4,"I think it all depends upon the project team, in my case the team is better than what other online reviews say about the company","Not getting chance to work 😞 n different domains, mostly it's getting repeatative and CG lacks to identify and appreciate the talent. IF YOU SHOW YOU ARE SMART YOU JUST GET MORE WORK bad managementELSE"
Technical Writer Cum Technical Illustrator,Other Department,Full Time,Positive,4,Working at Capgemini can allow me to collaborate with a diverse team. I am also Impressed with the company's emphasis on continuous learning and professional development.,Compensation is not up to the industry standards less hikes.
Technical Manager,Other Hospital Staff Department,Full Time,Negative,2,"great, it is as normal as other companies, no work life balance...","Capgemini is not badplace to work now,
Managers are not cooperating mainly whos non technical, also people management is very poor..
Not caring the employees emotions 😞"
Associate Consultant,Banking Operations Department,Full Time,Negative,1,"great, no learning, no growth, no work - life balance, no professionalism at management side.","Management is not employee friendly, no professional behaviour from Management side."
Technical Author,Aviation Engineering Department,Full Time,Positive,4,"Flexible hybrid working, not forced to come to office on fixed days. 
Internet allowance was provided.
Calm place to work as of office ambience.","Work-life balance was not even considered as a thing. Worked on Sunday's till 2 am. 
Forget weekends and work 24/7 for 365 days
Leaves are not given, though approved made to cancel in last minute.
Support for a fresher is very less, to clarify a doubt no senior resource would be available and would have to wait for days until they help us. 
On job training is name sake thing were freshers would be given job to be done and no training or trainer would support....Read More"
Senior Consultant,Software Development Department,Full Time,Positive,4,Technology and skills,"Extra pressure from practice side ,it feels like you are working on two organisation at the same time .first your horrible project management and second your practice"
Senior Security Analyst,IT Security Department,Full Time,Positive,4,Capgemini has lots of well being facilities,"Capgemini is badoverall with the facilities and culture but when it comes down to the teams, it's your luck what type of environment you would get"
Senior Consultant,Banking Operations Department,Full Time,Positive,5,"I like the employee friendly environment here and specially macro management is missing here which is cons here.
You only rated for the work you have or had done
Hybrid work culture helps to spend more time with family 
Salary offered is competitive and best in market otherwise it also depends on previous experiences and technology you have worked upon",bad managementso far
P.A. Accounts Payable Executive,Finance Department,Full Time,Negative,2,Very harashful environment of office and dirty politics in promoting as well as mental harashment stressful,Very harashful environment stressful working culture toxic politics of office and oftenly Kritika Tiwari our Process Lead her behaviour is disgusting with team members
Manager,Software Development Department,Full Time,Positive,4,"Worked on a couple of good projects.
Came across some really good people.","Not badteam in immigration. 
Carrying on outdated policies from iGate.
Office has no distinct areas for each practice so there is no connect within the practice."
Talent Acquisition Consultant   (working remotely),Recruitment & Talent Acquisition Department,Part Time,Negative,1,My team was good.,"Top Management is worst. Cant handle the situation.
Removing lower level employees from the job is not the Solution.
Come up with new ideas. 
Your jobs are safe, what about us. Still struggling to get job. Who is responsible for this."
Process Associate,Other Department,Full Time,Positive,5,"Food court, workspace, management","horrible, salary hike"
Analyst,Software Development Department,Full Time,Neutral,3,If you are a fresher and in bench then you will get a lot of time to upskill,Most of the freshers are in bench that's why in general ODC the environment is not bad
Senior Software Engineer,Quality Assurance and Testing Department,Full Time,Positive,4,work life balance & security which makes to feel comfortable.,appraisal wont expect & no promotion for the next 2 years after joining & there is no health checkup for the employees.
Consultant B2,IT Security Department,Full Time,Positive,5,Capgemini is good place to work and lot of scope for skill development and learning.,"I feel like Capgemini is perfect but when it comes to the management it is so rude. Not even greeting to recipient while sending mails. (Senior managers also}. If any help needs to be no one will respond including managers. Mostly I faced challenges from managers only. They are having their own works, not at all least bothered aboutthe team. 
This is one of the reasons for leaving Capgemini so early, and there is no reputation those who are doing their job perfect. Mostly office politics are in high sky in Capgemini.
I am willing to work but if there is no reputation it discourages. 
Please take my words seriously, this is what exactly happening....Read More"
Senior Professional I Engineer,Software Development Department,Full Time,Neutral,3,Good work!,"Absolutely no employee well fair,
No festival celebration at horrible project management level,
No perks for working hard.
Pathetic Reward and recognition system.
Huge salary difference between employees at same band and position"
Scrum Master,DevOps Department,Full Time,Positive,5,"Team Support
Training and development 
Job security","no promotion and appraisals 
Not providing role based on skills 
Less opportunities as per skills"
Associate Consultant,Other Department,Full Time,Positive,4,Capgemini is a global leader in partnering with companies to transform and manage their business by harnessing the power of technology.,Low quality of the facility and highly commercial view towards canteen and transport. Very poor on that front using almost school buses for transport.
Consultant,Facility Management Department,Full Time,Neutral,3,Only thing I like in Capgemini is learning never stops here.,Food in some places. Remote location in Mumbai. No promising hikes or no deserved no promotion. Less. Of terrible work life balance.
Sr.Analyst - Software Engineer,Software Development Department,Full Time,Neutral,3,Capgemini is a place where we can spend quality of time on self learning.,"Capgemini will keep monitoring the employee activity by app called Sapience buddy tool - It will fetch all the details like first & last activity, core time, offline time, no. of breaks taken, and every each thing you do on your laptop/pc."
Consultant,Other Department,Full Time,Negative,1,Cross skill training,"In capgemini I have met most unprofessional guys in my entire 6 years career. No Job insecurity. TATA is far more better as part of worst work culture, professionalism."
Consultant,IT Consulting Department,Full Time,Neutral,3,"If you got the project and it Is connected with your project then it’s fine.
Salary on time
Somewhat cooperative team 
Someone team lunch","Bus charges are high 1900 for hybrid days
No proper reimbursement process returns 
Unnecessary politics 
Less leaves at least for Indians"
Professional 1,Hardware Department,Full Time,Negative,1,great,"Waste.
Full of micro management in semiconductor vertical 
Politics
Not even having badcafeteria
People working in the Cafeteria are uncultured 
Please don't join this company. You might feel like you are working in an MNC. But inside that Managers don't even care about their employees or their feelings 
Some of my colleagues are calling Motherchowk to each and other and even Managers are supporting that....Read More"
Associate Consultant,Software Development Department,Full Time,Positive,4,"Working hours
Professional environment 
Decent exposure to new skills
Hybrid mode","Compensation can be improved
Bench management is ridiculous"
Consultant,Other Department,Full Time,Positive,5,"I like it ,so much I have learned ,when I was an employee with this organization. I really am looking forward to be an employee again to this organization. Thanks for everything that gave me",No
Senior Manager,Banking Operations Department,Full Time,Negative,2,"Worst work culture.
Employees treatment is worst 
Non technical people managers who don't understand anything about project and drive team as buffalo herd.
Poor amenities.","Directors have no sense of product development life cycle and politics
Technical people are used and thrown away.
Poor amenities. Poor management.
Not a company suggested to work"
Data Analyst,Other Department,Full Time,Neutral,3,Keeping u updated regarding new technologies to get upskilled in that,"No horrible project management is difficult to get a horrible project management if ur staying on the bench for more than 2 months,  will be a burden for you.  Thanks"
Senior Consultant,Software Development Department,Full Time,Positive,4,"Good company was working with great team.
Salary on time
Once you proved yourself then you will get good work.","Salary hikes very low. If you joined on low salary then it is problematic.
Company need to check salary discrepancy.
Laterally joined consultant earning more than senior consultant"
Physical Verification Engineer,Engineering & Manufacturing Department,Full Time,Positive,5,"I learned more concepts , worked on Many project up to 10+ projects .","1. Capgemini managers and leads , respect the Employ goals and which done employees are interested that domain need to give opportunity . 
2. In Capgemini Employees are worked very Hard , But there no increment in salary . How we trust in Capgemini.
3. In MNC companies most provide free cab facilities , But Capgemini there is no cabfacilities ""If you are provide cab facilities every employs should be interested in Cab and 200% Work will be meet in with in Estimated Time ""....Read More"
Sap Mm Consultant,IT Consulting Department,Full Time,Neutral,3,Flexible working hours,"due to work load we cannot take leaves and no leave encashment against it.
For salary we have to present counter offer letter.
Worst hybrid work Policy, it requires relocation to office location"
Analyst,Banking Operations Department,Full Time,Positive,4,Literally great in FSSBU. But there are many other good Business Units to work and grow.,"No Supportive management, no growth and learning especially in FSSBU"
Consultant,Business Intelligence & Analytics Department,Full Time,Negative,1,great.,They will take you showing they have basic requirements .But once u enter in org there will be clint round interviews and they will expect u know everything specailly from banking domain. Please dont waste your time if you are from any different domain apart from banking .They do not have enough horrible project management & only having banking horrible project managements and expect that non banking people will fit in that role.
Sr Manager,Technology / IT Department,Full Time,Neutral,3,"Flexibility,  work life balance,  stability in job.  Best place who love to work and stay busy.  I personally enjoy.","Salary, increments,  perks,  benefits.  
No team building or quarterly meets or hygiene factor.  
no promotions to those who long tenured or close to decision makers."
Senior Consultant   (working remotely),Downstream Department,Full Time,Neutral,3,I like learning culture,"The off boarding process is very hectic
If you have shift allowance not getting in FNF settlement then you need to follow up like hell.They won't treat you like an employee once you exist from the company."
Process Lead And Subject Matter Expert,Operations Department,Full Time,Negative,1,great,"Terrible worst work culture, huge office politics, higher level management is not supportive, lots of hidden clause which is not mentioned by the HR on offer letter, there are compensation related issue"
Escalation Engineer,IT Infrastructure Services Department,Full Time,Positive,5,Best company to work with best management with no politics. Just make sure to enter with good base package. Everything else is perfect for learning and development.,horrible
Devops Engineer,Software Development Department,Full Time,Neutral,3,"Flexibility part is good , you are given Hybrid model 
To work .",Work load and Some horrible project managements like Networking ones are definitely exhausting. 12-15hr of working and then also you might get thrown out of company.
Senior Consultant,Software Development Department,Full Time,Negative,1,Capgemini the Brand name only,"The company (manager in my horrible project management alone) never cares about their associate carreer progress even they are outstanding performer.
YEA rating is based on seniority on a horrible project management even they are under performer.
Managers will give fake commitments (like no promotions and onsite) for time being. They may tell later that you can leave the company if you want
There is no process transperancy in visa processing (H1B) and they may nominate the associate for retain purpose.
There are no well defined process. Anyone (senior manager) can do anything if they need something...
Org hierarchy and team structure is not bad(FS, IND BU, ApAC and LBS.......) Reporting manager, YEA manager and horrible project management manager are different... None of them are not connected (except YEA time)......Read More"
Consultant,Software Development Department,Full Time,Neutral,3,"Work, projects and learning curve will be heaven if you’re in pure Capgemini.","Full of politics, 
no value for your work, 
no recognition. 
No appraisal
You will get the badhike only if you belong to their religion/regions. Experienced it. 
Few Managers don’t have Technical Backgrounds and won’t listen to the team’s senior developers opinions also. Recommended to fired them first. They’re spoiling CG’s reputation. And Blocking the Enthusiastic Resources interests towards the achievement....Read More"
Technical Support Manager,Operations Support Department,Full Time,Negative,2,"Very complicated company to understand, no HR , No management discussion, last minute information sharing, so many applications, dynamic process changes.",Mentioned above
Accounts Payable Process Associate,Accounts payable Department,Full Time,Positive,4,The work life balance and atmosphere is good.,The main disappoint here is HR policy and compensation. They don't maintain any fixed rules. Also even after 2years you are hardly getting chances to meet HR.
Associate Consultant Developer,IT Network Department,Full Time,Positive,4,I don't think so I like anything about the company or my team except the building,"They hire so many people only for the bench, They don't really need people to work on the horrible project management,
one of my colleagues is not working on any horrible project management for the last 2 years and there are so many people who are suffering in the same they are looking for a horrible project management.
and there is too much politics in my team, it's too much because of the state some Bengaluru people don't like northern people. Even sometimes they make you cry is you are soft-hearted people...Read More"
Analyst,IT Support Department,Full Time,Negative,1,Entry training.,"I don't know how I am going through this company I join this as a fresher and my training is given to a well known demanding technology I grasp the knowledge but now they put into cisco support team and now I have been getting training but not allocated to any horrible project management. In the meanwhile they doesn't believe on employees health, they can't change location and they debit my salary and all."
Senior Project Manager,Business Intelligence & Analytics Department,Full Time,Positive,5,"This organization stands out for its exceptional company culture, commitment to skill development, supportive work station environment, and dedication to work-life balance. However, it shows room for improvement in terms of salary benefits and the speed of promotions/appraisals.","The compensation is relatively low, and no promotions are not always timely."
Process Associate,Accounting & Taxation Department,Full Time,Positive,5,I have work in capgemi past few years it was very great opportunity to career development. I manage work life balance equally.and I developed my skills and experience.,Only one dislike is salary
Sap Mm Consultant,IT Consulting Department,Full Time,Positive,4,"Job security
Salary on time
Good Exposure in multiple projects
Mostly Support and roll out project
Work life balance ,depends on every project",As if now no issue
Senior Consultant,Other Department,Full Time,Neutral,3,Overall a very good company,Noida location block A NSEZ is one of the worst. All non tech people are calling shots. Tech ones are frustrated of politics and leave.
Consultant,Software Development Department,Full Time,Positive,4,Technical things and clients are good.,politics with in the team are blockers for the quality product deliverables. and also this team politics will affect badly for the career of bademployees. and those politics will raise the career of wrong people.
Team Manager,Finance Department,Full Time,Positive,4,Good place to work,I got selected ..after 4 month they have assigned me horrible project management..but we have to give further two round of interviews..which I dislike
Program Lead-Delivery Partner,Banking Operations Department,Full Time,Neutral,3,large Organization globally,"Indian leaders (Sr Directors, VP, EVP's) in the Organization doesn't even bother about whether the employee knows Hindi or not....they simply start speaking in Hindi in most of the official forums including task assignment inspite of reminding them to talk in official language. This is not only unprofessional but also inhuman behavior"
Associate Consultant,Applied Innovation Exchange Department,Full Time,Positive,4,I had the flexibility to explore new technologies and learn and work on different skill set. My team always paid attention towards team bonding activities.,Compensation policy.
Sap Succe,IT Consulting Department,Full Time,Positive,5,"Capgemini is a global organization which provides you the opportunity to work with people from all over the world. Capgemini provides lots of trainings, training sessions for finance, health related.",Manager values you in your notice period days.
Financial Analyst,Back Office Department,Full Time,Negative,2,No likes totally disappointed,"1. No badenvironment
2. Salary no hike 
3. Your previous experience will not count
4. No transport insecurity for girls
5. No terrible work life balance
6. They will do Tigger ruin your mental health"
Associate Consultant,Quality Assurance and Testing Department,Full Time,Positive,4,"Capgemini has great working culture with excellent work life balance.
If you prioritise mental peace over money/hike please go for Capgemini.",Hike and no promotion is less. But the case is same for all the companies until you switch you don't get badhike.
Analog Layout Engineer,Hardware Department,Full Time,Negative,1,"I don't know about software Business but when it comes to SEMICON  which is Hardware Vlsi. it ls the worst place with no skilled Seniors level leads , Every Project gives us ample amount of stress. It's not about How many years you serve here but you should nevermind expect hike. WORST management 😕. Kindly don't join here as a senior level engineer.","Meesy work environment no hikes no guidance of senior level leads.dont join as a senior you'll ruin all your peace.
Worst palce to work here."
Associate Consultant FP,Finance Department,Full Time,Positive,4,Capgemini is really a great place to work with. We get to learn many things related to work. Colleagues are very strong and supportive. Good for freshers. Career growth and salary hike is also good; depending on your performance.,No such dislikes.
Hr Trainee Generalist,Recruitment & Talent Acquisition Department,Intern,Positive,5,"#Work culture, #learning and Development, #Onboarding experience, #Team. I really think ""Get the future you want is the correct Mantra for the organization""",There is bad managementthat I disliked.
Software Developer 3,Quality Assurance and Testing Department,Full Time,Neutral,3,Company culture is very good. Many events will take place and you can participate in them to releive your tension.,If your manager is badand understanding then and then only you can survive here. No importance for your work- life balance at all.
"Software Consultant, Python",Software Development Department,Full Time,Positive,5,Work Life balance is very good.,"Process of appraisal and no promotion is not bad. You will get very less opportunity to develop your skills.
Mostly your skills will be stagnant here."
Team Lead,Operations Department,Full Time,Positive,4,"CG as a company is very good for women professional. They have a very good work life balance. When it comes to appraisal, it is not very good. When you join, if you are placed with a good package you are lucky. However if you stay for longer duration, the growth will be very very slow. No additional perks provided by CG.",No growth in terms of salary hike when you stay for more than three years...Everything depends on management decision and not basis your work...
Senior Consultant,IT Infrastructure Services Department,Full Time,Positive,4,"1. Usually 1 person remains allocated to one project at a time.
2. Work life balance.
3. Usually senior management here has been associated with the company for many consistent years and hence normally they remain compliant with HR policies and don't micro monitor etc.","On your exit, remaining amount of health insurance premiums is to be deposited by the employee in Capgemini's bank account rather than getting it settled down from FNF without which your finance clearance won't be cleared.
Lots of clearance to follow up with,  regarding your exit formalities."
Senior Analyst,Software Development Department,Full Time,Positive,4,"I got to work on a better ERP.
Laptop & assets were received in the good condition.","Note: This is only based on the horrible project management that I worked and the experience I had.
Work pressure and work load was just too much.
terrible work life balance was nowhere.
No one cares about the real concerns."
Gcp Data Engineer,Data Science & Machine Learning Department,Full Time,Negative,1,great,"Capsgimini don't have any horrible project management. They hire people and put  on bench for 100 days and once the 100 days over they fire people without any notice.
Under the name of internal client interview they took too difficult interview that no one can crack it and if any one cracked any round they never get allocate to horrible project management.
Also it's mandatory to work from client location it doesn't matter what's your base location is....Read More"
